"fn","m","f","t"
"Simon",0.98,0.02,219
"Simona",0.00,1.00,26
"Simran",0.81,0.19,57
"Simranjit",0.91,0.09,11
"Sina",0.00,1.00,27
"Sincere",0.23,0.77,13
"Sindy",0.08,0.92,24
"Sirena",0.00,1.00,18
"Sis",0.02,0.98,47
"Sissy",0.00,1.00,20
"Sister",0.02,0.98,41
"Sita",0.00,1.00,12
"Skyla",0.09,0.91,56
"Slater",0.77,0.23,13
"Sloane",0.17,0.83,18
"Smith",0.87,0.13,23
"Sneha",0.06,0.94,18
"Sofi",0.00,1.00,15
"Sofia",0.01,0.99,391
"Sofie",0.00,1.00,23
"Solange",0.11,0.89,18
"Soledad",0.24,0.76,17
"Solomon",0.96,0.04,108
"Sommer",0.29,0.71,35
"Son",1.00,0.00,16
"Sona",0.00,1.00,11
"Sonam",0.75,0.25,12
"Sondra",0.05,0.95,38
"Sonia",0.02,0.98,330
"Sonja",0.09,0.91,95
"Sonny",0.86,0.14,69
"Sonya",0.01,0.99,203
"Soph",0.00,1.00,14
"Sophia",0.01,0.99,809
"Sophie",0.01,0.99,434
"Soraya",0.05,0.95,21
"Sparkle",0.07,0.93,15
"Spence",1.00,0.00,12
"Spencer",0.95,0.05,764
"Spenser",0.94,0.06,17
"Spring",0.29,0.71,24
"Stacey",0.06,0.94,431
"Staci",0.01,0.99,72
"Stacia",0.02,0.98,49
"Stacie",0.01,0.99,118
"Stacy",0.05,0.95,444
"Stan",0.98,0.02,52
"Stanley",0.92,0.08,173
"Stanton",0.91,0.09,11
"Star",0.13,0.87,95
"Starasia",0.15,0.85,13
"Starla",0.00,1.00,31
"Starr",0.08,0.92,74
"Stefan",0.90,0.10,111
"Stefani",0.02,0.98,48
"Stefania",0.00,1.00,18
"Stefanie",0.01,0.99,131
"Stefano",1.00,0.00,38
"Stefany",0.04,0.96,53
"Steffanie",0.08,0.92,13
"Steffany",0.05,0.95,20
"Stefon",0.90,0.10,21
"Stella",0.02,0.98,121
"Stephaine",0.00,1.00,11
"Stephan",0.94,0.06,111
"Stephane",0.12,0.88,17
"Stephani",0.00,1.00,26
"Stephania",0.00,1.00,22
"Stephanie",0.01,0.99,3256
"Stephany",0.03,0.97,119
"Stephen",0.94,0.06,1072
"Stephenie",0.00,1.00,36
"Stephine",0.06,0.94,18
"Stephon",0.92,0.08,78
"Sterling",0.72,0.28,138
"Steve",0.98,0.02,736
"Steven",0.99,0.01,1848
"Stevie",0.82,0.18,144
"Stewart",0.93,0.07,46
"Stone",0.98,0.03,40
"Stormie",0.15,0.85,13
"Stu",0.87,0.13,15
"Stuart",0.96,0.04,76
"Sue",0.03,0.97,100
"Sullivan",0.83,0.17,12
"Sully",0.71,0.29,21
"Sultan",0.91,0.09,11
"Sumaya",0.20,0.80,15
"Summer",0.08,0.92,529
"Sunday",0.25,0.75,12
"Sunil",0.75,0.25,12
"Sunita",0.13,0.88,16
"Sunshine",0.00,1.00,34
"Surya",0.00,1.00,11
"Susan",0.01,0.99,814
"Susana",0.01,0.99,121
"Susanna",0.02,0.98,43
"Susannah",0.00,1.00,12
"Susanne",0.00,1.00,19
"Susie",0.00,1.00,95
"Susy",0.09,0.91,11
"Suzan",0.04,0.96,25
"Suzanna",0.00,1.00,27
"Suzanne",0.02,0.98,237
"Suzette",0.03,0.97,38
"Suzi",0.06,0.94,18
"Suzie",0.04,0.96,27
"Suzy",0.02,0.98,51
"Suzzette",0.00,1.00,12
"Svetlana",0.00,1.00,25
"Sydnee",0.04,0.96,70
"Sydney",0.06,0.94,1402
"Sydni",0.10,0.90,69
"Sydnie",0.03,0.97,58
"Syed",0.71,0.29,89
"Syeda",0.07,0.93,28
"Sylvester",0.83,0.18,40
"Sylvia",0.01,0.99,267
"Synthia",0.00,1.00,17
"T",0.84,0.16,38
"Taariq",0.73,0.27,11
"Tabatha",0.10,0.90,93
"Tabby",0.14,0.86,22
"Tabetha",0.00,1.00,17
"Tabitha",0.04,0.96,336
"Tad",0.83,0.17,12
"Taelor",0.27,0.73,22
"Tahir",0.91,0.09,22
"Tahira",0.13,0.87,23
"Tahirah",0.00,1.00,13
"Tahj",0.86,0.14,35
"Tahlia",0.00,1.00,19
"Taia",0.07,0.93,15
"Taija",0.25,0.75,12
"Taina",0.03,0.97,33
"Taira",0.00,1.00,17
"Taisha",0.00,1.00,34
"Tait",0.91,0.09,11
"Taiwo",0.89,0.11,18
"Taiya",0.00,1.00,19
"Taj",0.92,0.08,38
"Taja",0.14,0.86,29
"Tajah",0.27,0.73,15
"Tajh",0.91,0.09,11
"Takara",0.25,0.75,16
"Takayla",0.08,0.92,12
"Takesha",0.09,0.91,11
"Takia",0.03,0.97,31
"Takira",0.21,0.79,14
"Takisha",0.07,0.93,15
"Takiyah",0.00,1.00,16
"Tal",0.79,0.21,19
"Tala",0.00,1.00,18
"Talaya",0.04,0.96,24
"Talea",0.07,0.93,15
"Taleah",0.11,0.89,18
"Talha",0.19,0.75,16
"Talia",0.01,0.99,174
"Taliah",0.04,0.96,26
"Talisa",0.00,1.00,20
"Talisha",0.02,0.98,48
"Talitha",0.11,0.89,19
"Taliyah",0.02,0.98,48
"Tally",0.18,0.82,11
"Talon",0.93,0.07,45
"Talya",0.07,0.93,14
"Tamara",0.04,0.96,512
"Tamaya",0.08,0.92,12
"Tameeka",0.00,1.00,12
"Tameka",0.07,0.93,68
"Tamekia",0.07,0.93,15
"Tamela",0.00,1.00,17
"Tamera",0.00,1.00,95
"Tamesha",0.00,1.00,22
"Tami",0.15,0.85,87
"Tamia",0.02,0.98,197
"Tamika",0.03,0.97,146
"Tamira",0.00,1.00,23
"Tamisha",0.00,1.00,14
"Tamiya",0.07,0.93,15
"Tammi",0.13,0.88,32
"Tammie",0.06,0.94,66
"Tammy",0.22,0.78,613
"Tamra",0.06,0.94,33
"Tamya",0.04,0.96,25
"Tamyra",0.00,1.00,11
"Tan",0.92,0.08,13
"Tana",0.03,0.97,30
"Tanasia",0.00,1.00,27
"Tanaya",0.05,0.95,21
"Tandra",0.17,0.83,12
"Taneisha",0.00,1.00,25
"Taneka",0.07,0.93,15
"Tanesha",0.01,0.99,69
"Taneshia",0.00,1.00,19
"Tangela",0.08,0.92,24
"Tania",0.04,0.96,283
"Tanika",0.02,0.98,45
"Taniqua",0.13,0.87,15
"Tanisha",0.02,0.98,215
"Taniya",0.04,0.96,52
"Taniyah",0.06,0.94,18
"Tanna",0.00,1.00,13
"Tanner",0.98,0.02,609
"Tanya",0.03,0.97,447
"Tanzania",0.00,1.00,15
"Taquan",0.83,0.17,18
"Tara",0.03,0.97,714
"Tarah",0.04,0.96,24
"Taran",0.91,0.09,11
"Tarek",0.83,0.17,12
"Tarik",0.94,0.06,32
"Tariq",0.88,0.12,78
"Tarique",0.92,0.08,12
"Taron",1.00,0.00,24
"Tarra",0.00,1.00,15
"Tarun",1.00,0.00,11
"Taryn",0.20,0.80,148
"Tasha",0.02,0.98,246
"Tashana",0.00,1.00,24
"Tashara",0.05,0.95,22
"Tashauna",0.29,0.71,14
"Tashawna",0.14,0.86,21
"Tashia",0.00,1.00,12
"Tashina",0.07,0.93,15
"Tasia",0.00,1.00,64
"Tate",0.91,0.09,81
"Tati",0.23,0.77,47
"Tatiana",0.02,0.98,507
"Tatianna",0.01,0.99,92
"Tatiyana",0.02,0.98,41
"Tatiyanna",0.07,0.93,14
"Tatum",0.88,0.12,133
"Tatyana",0.04,0.96,284
"Tatyanna",0.02,0.98,43
"Tavares",0.95,0.05,22
"Tavia",0.00,1.00,23
"Tavian",0.95,0.05,19
"Tavion",0.90,0.10,21
"Tavis",1.00,0.00,11
"Tavon",0.98,0.02,46
"Tawana",0.03,0.97,39
"Tawanda",0.07,0.93,15
"Tawanna",0.00,1.00,20
"Taya",0.06,0.94,66
"Tayah",0.12,0.88,17
"Tayanna",0.00,1.00,13
"Taye",0.77,0.23,13
"Tayla",0.05,0.95,39
"Taz",1.00,0.00,18
"TC",0.94,0.06,18
"Tea",0.17,0.83,29
"Teah",0.06,0.94,16
"Teaira",0.05,0.95,22
"Teairra",0.08,0.92,13
"Teana",0.00,1.00,12
"Teanna",0.00,1.00,26
"Teara",0.00,1.00,15
"Tearra",0.00,1.00,17
"Teasia",0.00,1.00,13
"Ted",0.99,0.01,108
"Teddi",1.00,0.00,12
"Teddy",0.98,0.02,106
"Teela",0.15,0.85,13
"Teena",0.00,1.00,14
"Tehya",0.09,0.91,23
"Teia",0.00,1.00,12
"Teja",0.10,0.90,20
"Temika",0.07,0.93,14
"Tena",0.09,0.91,11
"Tenaya",0.00,1.00,13
"Tenesha",0.00,1.00,11
"Tenia",0.07,0.93,15
"Tenisha",0.00,1.00,32
"Tenzin",0.89,0.11,62
"Teo",0.93,0.07,15
"Teona",0.00,1.00,12
"Teonna",0.06,0.94,16
"Tequila",0.20,0.80,20
"Tequilla",0.13,0.87,15
"Tera",0.06,0.94,53
"Terah",0.09,0.91,11
"Terell",0.85,0.15,33
"Terence",0.99,0.01,76
"Teresa",0.01,0.99,560
"Terese",0.09,0.91,11
"Teresita",0.00,1.00,23
"Teressa",0.00,1.00,20
"Teri",0.22,0.78,73
"Teron",0.85,0.15,13
"Terra",0.03,0.97,77
"Terran",0.80,0.20,15
"Terrance",0.94,0.06,247
"Terrel",0.92,0.08,13
"Terrell",0.86,0.14,207
"Terrence",0.95,0.05,162
"Terri",0.19,0.81,213
"Terrica",0.06,0.94,18
"Terrie",0.26,0.74,31
"Terron",1.00,0.00,19
"Tesha",0.00,1.00,11
"Tess",0.05,0.95,129
"Tessa",0.01,0.99,251
"Tessie",0.09,0.91,11
"Tevin",0.93,0.07,132
"Tevon",1.00,0.00,13
"Teya",0.00,1.00,19
"Thad",1.00,0.00,15
"Thaddeus",0.94,0.06,36
"Thai",0.76,0.24,17
"Thais",0.85,0.15,13
"Thalia",0.02,0.98,130
"Thanh",0.74,0.26,23
"Thania",0.00,1.00,17
"Thao",0.90,0.10,31
"Thea",0.04,0.96,45
"Thelma",0.04,0.96,49
"Theo",0.98,0.02,98
"Theodora",0.20,0.80,15
"Theodore",0.94,0.06,131
"Theophilus",1.00,0.00,14
"Theresa",0.01,0.99,502
"Therese",0.15,0.85,34
"Theron",0.96,0.04,24
"Thien",0.91,0.09,11
"Thomas",0.99,0.01,1904
"Thompson",0.91,0.09,11
"Thor",1.00,0.00,15
"Thuy",0.82,0.18,17
"Tia",0.03,0.97,447
"Tiana",0.01,0.99,283
"Tiandra",0.09,0.91,11
"Tiani",0.27,0.73,11
"Tianna",0.01,0.99,194
"Tiara",0.03,0.97,368
"Tiare",0.13,0.87,15
"Tiarra",0.05,0.95,66
"Tiasia",0.00,1.00,14
"Tien",0.78,0.22,18
"Tiera",0.02,0.98,53
"Tierra",0.02,0.98,226
"Tiesha",0.00,1.00,18
"Tiff",0.17,0.83,47
"Tiffaney",0.00,1.00,16
"Tiffani",0.02,0.98,112
"Tiffanie",0.03,0.97,69
"Tiffany",0.01,0.99,2068
"Tiffiny",0.00,1.00,11
"Tiffney",0.00,1.00,12
"Tiger",1.00,0.00,18
"Tika",0.29,0.71,14
"Tim",0.98,0.02,857
"Timia",0.06,0.94,18
"Timmy",0.95,0.05,133
"Timothy",0.98,0.02,1066
"Tina",0.01,0.99,799
"Tino",0.97,0.03,36
"Tio",0.88,0.12,26
"Tiona",0.00,1.00,13
"Tionna",0.02,0.98,49
"Tish",0.00,1.00,14
"Tisha",0.00,1.00,52
"Tita",0.00,1.00,12
"Titi",0.20,0.80,20
"Tito",0.97,0.03,31
"Titus",0.96,0.04,45
"Tiyana",0.00,1.00,17
"Tj",0.98,0.02,308
"Tkeyah",0.23,0.77,13
"Tobi",0.97,0.03,31
"Tobias",0.95,0.05,56
"Toby",0.99,0.01,87
"Todd",0.99,0.01,325
"Tom",0.99,0.01,548
"Tomas",0.98,0.02,123
"Tomeka",0.10,0.90,21
"Tomika",0.05,0.95,21
"Tommie",0.82,0.18,38
"Tommy",0.98,0.02,615
"Tone",1.00,0.00,14
"Toney",0.85,0.15,13
"Tonia",0.00,1.00,60
"Tonisha",0.00,1.00,33
"Tonja",0.20,0.80,15
"Tony",0.98,0.02,905
"Tonya",0.03,0.97,348
"Tori",0.18,0.82,617
"Toria",0.00,1.00,12
"Torian",0.78,0.22,18
"Torie",0.22,0.78,27
"Torrance",0.93,0.07,14
"Torrence",1.00,0.00,13
"Torri",0.20,0.80,25
"Tosha",0.14,0.86,36
"Toya",0.18,0.82,38
"Tracey",0.07,0.93,209
"Traci",0.05,0.95,111
"Tracie",0.01,0.99,70
"Tracy",0.05,0.95,592
"Trae",0.82,0.18,28
"Tran",0.87,0.13,15
"Trang",0.72,0.28,18
"Travion",0.96,0.04,27
"Travis",0.97,0.03,903
"Travon",1.00,0.00,57
"Tray",0.90,0.10,31
"Trayvon",0.92,0.08,24
"Tre",0.94,0.06,160
"Treasure",0.25,0.75,28
"Trell",1.00,0.00,11
"Trent",0.97,0.03,307
"Trenton",0.96,0.04,162
"Treshawn",1.00,0.00,15
"Tressa",0.00,1.00,21
"Trev",1.00,0.00,13
"Trever",0.96,0.04,27
"Trevin",1.00,0.00,20
"Trevion",0.88,0.13,16
"Trevon",0.99,0.01,168
"Trevor",0.98,0.02,909
"Trey",0.97,0.03,452
"Treyvon",1.00,0.00,28
"Tricia",0.01,0.99,116
"Trin",0.19,0.81,16
"Trina",0.00,1.00,101
"Trinh",0.27,0.73,11
"Triniti",0.00,1.00,13
"Trinity",0.05,0.95,291
"Trish",0.03,0.98,80
"Trisha",0.01,0.99,162
"Trista",0.08,0.92,39
"Tristan",0.96,0.04,505
"Tristen",0.79,0.21,128
"Tristian",0.98,0.02,42
"Tristin",0.80,0.20,64
"Triston",0.96,0.04,51
"Troi",0.88,0.12,17
"Troy",0.99,0.01,495
"Trudy",0.21,0.79,38
"Truman",1.00,0.00,16
"Trung",0.85,0.15,13
"Trystan",0.88,0.12,26
"Tuan",0.95,0.05,20
"Tucker",0.98,0.02,121
"Turner",0.97,0.03,32
"Twyla",0.21,0.79,14
"Ty",0.95,0.05,355
"Tya",0.08,0.92,13
"Tyana",0.02,0.98,49
"Tyanna",0.02,0.98,62
"Tyasia",0.00,1.00,20
"Tye",0.94,0.06,31
"Tyeisha",0.03,0.97,30
"Tyesha",0.01,0.99,77
"Tyeshia",0.13,0.87,15
"Tyger",0.91,0.09,11
"Tyiesha",0.00,1.00,11
"Tyisha",0.00,1.00,19
"Tyjuan",0.91,0.09,11
"Tykia",0.07,0.93,14
"Tyla",0.00,1.00,38
"Tylar",0.82,0.18,22
"Tyler",0.97,0.03,3866
"Tylor",0.84,0.16,74
"Tyneisha",0.00,1.00,12
"Tynesha",0.00,1.00,22
"Tynisha",0.04,0.96,28
"Tyonna",0.00,1.00,16
"Tyquan",0.87,0.13,46
"Tyra",0.02,0.98,226
"Tyrah",0.18,0.82,11
"Tyran",0.73,0.27,11
"Tyre",0.77,0.23,13
"Tyrece",0.80,0.20,15
"Tyree",0.86,0.14,162
"Tyreek",0.86,0.14,28
"Tyreese",0.86,0.14,21
"Tyreik",1.00,0.00,15
"Tyrek",1.00,0.00,29
"Tyreke",0.90,0.10,21
"Tyrel",0.89,0.11,18
"Tyrell",0.90,0.10,151
"Tyren",0.90,0.10,21
"Tyresha",0.00,1.00,22
"Tyrie",0.71,0.29,14
"Tyriek",0.92,0.08,12
"Tyrik",0.88,0.13,16
"Tyrin",0.87,0.13,15
"Tyriq",0.86,0.14,21
"Tyrique",0.77,0.23,31
"Tyron",1.00,0.00,46
"Tyrone",0.96,0.04,226
"Tyrus",0.95,0.05,22
"Tysean",0.81,0.19,16
"Tyshae",0.17,0.83,12
"Tyshaun",0.79,0.21,24
"Tyshawn",0.80,0.20,51
"Tyshon",0.89,0.11,18
"Tyson",0.97,0.03,152
"Tytiana",0.03,0.97,32
"Tytianna",0.00,1.00,14
"Tyus",1.00,0.00,11
"Tywan",0.86,0.14,14
"Ulises",0.78,0.22,51
"Umair",0.92,0.08,13
"Umar",0.88,0.13,16
"Umer",0.92,0.08,12
"Uncle",0.98,0.02,90
"Unique",0.16,0.84,94
"Ursula",0.04,0.96,28
"Usama",0.27,0.73,11
"Usman",1.00,0.00,23
"Vada",0.08,0.92,12
"Vadim",0.85,0.15,13
"Valarie",0.00,1.00,54
"Valencia",0.05,0.95,78
"Valentina",0.01,0.99,136
"Valentine",0.14,0.86,21
"Valentino",0.95,0.05,21
"Valeria",0.01,0.99,354
"Valerie",0.01,0.99,815
"Valery",0.03,0.97,37
"Valorie",0.06,0.94,16
"Van",0.98,0.02,56
"Vance",0.89,0.11,44
"Vanesa",0.05,0.95,41
"Vanessa",0.01,0.99,1836
"Vania",0.00,1.00,17
"Vanita",0.00,1.00,13
"Vanity",0.12,0.88,17
"Vanna",0.08,0.92,12
"Vannesa",0.00,1.00,16
"Vannessa",0.00,1.00,31
"Varsha",0.00,1.00,12
"Varun",0.85,0.15,26
"Vaughn",0.91,0.09,45
"Veda",0.00,1.00,15
"Velma",0.00,1.00,24
"Venessa",0.03,0.97,37
"Venus",0.12,0.88,50
"Vera",0.03,0.97,61
"Verenice",0.18,0.82,11
"Verna",0.00,1.00,18
"Vernon",0.96,0.04,71
"Vero",0.92,0.08,24
"Veronica",0.01,0.99,1054
"Veronika",0.00,1.00,42
"Veronique",0.06,0.94,18
"Vi",0.29,0.71,17
"Vianca",0.00,1.00,26
"Vianey",0.11,0.89,37
"Vianka",0.00,1.00,11
"Vianney",0.21,0.79,14
"Vic",0.89,0.11,56
"Vicente",0.91,0.09,74
"Vicki",0.02,0.98,130
"Vickie",0.00,1.00,80
"Vicky",0.03,0.97,154
"Victor",0.98,0.02,1059
"Victoria",0.01,0.99,2446
"Vida",0.00,1.00,12
"Vidhi",0.75,0.25,12
"Vika",0.07,0.93,14
"Viki",0.00,1.00,14
"Vikki",0.00,1.00,25
"Viktor",1.00,0.00,26
"Viktoriya",0.06,0.94,17
"Vilma",0.00,1.00,23
"Vince",0.99,0.01,138
"Vincent",0.99,0.01,539
"Vincenzo",1.00,0.00,16
"Vinny",0.81,0.19,114
"Viola",0.10,0.90,21
"Violet",0.04,0.96,51
"Violeta",0.03,0.97,34
"Virgil",0.76,0.24,25
"Virginia",0.04,0.96,290
"Viridiana",0.03,0.97,39
"Vishal",0.78,0.22,37
"Vishnu",0.75,0.25,12
"Vita",0.06,0.94,17
"Vito",0.93,0.07,27
"Vivi",0.00,1.00,18
"Vivian",0.02,0.98,334
"Viviana",0.01,0.99,146
"Vivianna",0.00,1.00,17
"Vivica",0.00,1.00,16
"Vivien",0.08,0.92,13
"Vlad",0.89,0.11,36
"Vladimir",0.91,0.09,47
"Von",1.00,0.00,17
"Vy",0.29,0.71,14
"Wade",0.97,0.03,118
"Wagner",1.00,0.00,11
"Waleed",0.91,0.09,23
"Walid",0.92,0.08,12
"Walker",0.99,0.01,85
"Wallace",0.94,0.06,33
"Wally",1.00,0.00,19
"Walt",1.00,0.00,18
"Walter",0.98,0.02,282
"Wanda",0.04,0.96,205
"Wanya",0.00,1.00,15
"Ward",0.91,0.09,11
"Warren",0.98,0.02,132
"Waseem",0.79,0.21,14
"Waylon",1.00,0.00,14
"Wayne",0.91,0.09,240
"Wendell",0.97,0.03,36
"Wendi",0.00,1.00,25
"Wendy",0.01,0.99,574
"Wes",0.97,0.03,118
"Wesley",0.92,0.08,341
"Westley",0.71,0.29,17
"Weston",0.99,0.01,79
"Whitley",0.17,0.83,29
"Whitney",0.02,0.98,572
"Whittney",0.00,1.00,13
"Wil",1.00,0.00,29
"Wilber",1.00,0.00,11
"Wilbert",1.00,0.00,21
"Wiley",1.00,0.00,12
"Wilfredo",1.00,0.00,33
"Will",0.98,0.02,1042
"Willa",0.18,0.82,11
"William",0.98,0.02,2482
"Williams",0.95,0.05,20
"Willie",0.96,0.04,304
"Willis",1.00,0.00,14
"Willow",0.20,0.80,44
"Willy",1.00,0.00,49
"Wilma",0.00,1.00,17
"Wilmer",0.89,0.11,19
"Wilson",0.98,0.02,119
"Windy",0.00,1.00,12
"Winnie",0.12,0.88,34
"Winston",1.00,0.00,48
"Wolfgang",0.94,0.06,18
"Woody",0.90,0.10,20
"Wyatt",0.97,0.03,341
"Xander",0.92,0.08,38
"Xavier",0.97,0.03,631
"Xena",0.05,0.95,42
"Xenia",0.00,1.00,18
"Ximena",0.11,0.89,36
"Xiomara",0.13,0.88,64
"Xzavier",0.96,0.04,25
"Yadira",0.00,1.00,100
"Yahaira",0.08,0.92,51
"Yahya",0.10,0.90,21
"Yajaira",0.14,0.86,76
"Yakira",0.00,1.00,14
"Yalitza",0.07,0.93,15
"Yamil",0.71,0.29,14
"Yamile",0.06,0.94,17
"Yamilet",0.13,0.87,23
"Yamileth",0.18,0.82,11
"Yamilex",0.29,0.71,17
"Yana",0.00,1.00,33
"Yaneli",0.20,0.80,15
"Yanet",0.14,0.86,22
"Yaneth",0.08,0.92,13
"Yani",0.08,0.92,13
"Yanique",0.26,0.74,19
"Yanira",0.00,1.00,35
"Yanna",0.00,1.00,16
"Yanni",0.24,0.76,17
"Yannick",0.75,0.25,16
"Yaquelin",0.13,0.87,15
"Yara",0.00,1.00,25
"Yareli",0.12,0.88,25
"Yaritza",0.02,0.98,62
"Yashira",0.00,1.00,18
"Yasin",0.21,0.79,19
"Yasir",0.76,0.24,17
"Yasmeen",0.08,0.92,76
"Yasmin",0.04,0.96,173
"Yasmine",0.02,0.98,189
"Yaya",0.00,1.00,21
"Yazmin",0.05,0.95,79
"Yazmine",0.03,0.97,33
"Yehuda",0.09,0.91,11
"Yelena",0.00,1.00,20
"Yelitza",0.14,0.86,14
"Yenifer",0.00,1.00,20
"Yesenia",0.03,0.97,372
"Yesha",0.00,1.00,11
"Yesica",0.02,0.98,48
"Yessenia",0.03,0.97,72
"Yessica",0.00,1.00,61
"Yoel",0.91,0.09,11
"Yohana",0.06,0.94,17
"Yolanda",0.02,0.98,340
"Yolonda",0.00,1.00,14
"Yonatan",0.79,0.21,14
"Yosef",0.91,0.09,11
"Yoselin",0.03,0.97,33
"Yoshi",0.73,0.27,11
"Young",0.81,0.19,16
"Yousef",0.88,0.12,34
"Yousif",0.85,0.15,20
"Youssef",0.92,0.08,26
"Ysabel",0.08,0.92,12
"Yuan",0.82,0.18,11
"Yuliana",0.00,1.00,25
"Yulisa",0.00,1.00,19
"Yulissa",0.00,1.00,41
"Yuliya",0.00,1.00,21
"Yusef",0.89,0.11,19
"Yusra",0.08,0.92,12
"Yusuf",0.97,0.03,36
"Yvette",0.02,0.98,261
"Yvonne",0.05,0.95,281
"Zabrina",0.00,1.00,11
"Zac",0.99,0.01,249
"Zach",0.99,0.01,1627
"Zachariah",0.83,0.17,65
"Zachary",0.91,0.09,1188
"Zachery",0.93,0.08,80
"Zack",0.99,0.01,593
"Zackary",0.94,0.06,78
"Zackery",0.96,0.04,52
"Zahir",0.93,0.07,14
"Zahra",0.07,0.93,46
"Zahria",0.20,0.80,20
"Zaid",0.84,0.16,32
"Zaida",0.06,0.94,16
"Zain",0.86,0.14,36
"Zaina",0.08,0.92,12
"Zaira",0.03,0.97,31
"Zak",1.00,0.00,74
"Zakaria",0.14,0.86,21
"Zakia",0.05,0.95,20
"Zakiya",0.05,0.95,42
"Zana",0.06,0.94,18
"Zander",1.00,0.00,29
"Zane",0.83,0.18,160
"Zara",0.00,1.00,40
"Zaria",0.04,0.96,90
"Zariah",0.22,0.78,36
"Zarina",0.07,0.93,15
"Zavier",0.88,0.12,26
"Zay",0.87,0.13,38
"Zayne",0.79,0.21,19
"Zayra",0.12,0.88,17
"Zeb",0.92,0.08,13
"Zechariah",0.82,0.18,28
"Zeeshan",0.82,0.18,11
"Zeke",0.88,0.12,49
"Zelda",0.07,0.93,15
"Zen",0.80,0.20,15
"Zena",0.00,1.00,31
"Zenaida",0.05,0.95,19
"Zenobia",0.15,0.85,13
"Zharia",0.07,0.93,14
"Zia",0.09,0.91,23
"Ziggy",0.86,0.14,14
"Zina",0.00,1.00,25
"Zion",0.89,0.11,127
"Zipporah",0.23,0.77,26
"Zoe",0.14,0.86,509
"Zoey",0.13,0.88,112
"Zoie",0.09,0.91,33
"Zoila",0.07,0.93,15
"Zora",0.08,0.92,12
"Zoraida",0.20,0.80,15
"Zoya",0.12,0.88,17
"Zuleika",0.06,0.94,18
"Zulema",0.00,1.00,22
"Zulma",0.22,0.78,23
"Zyaire",0.09,0.91,11
"Zyon",0.92,0.08,12
