"fn","m","f","t"
"Cade",0.85,0.15,136
"Caden",0.92,0.08,106
"Cadence",0.21,0.79,14
"Cadet",0.85,0.15,13
"Caesar",0.92,0.08,13
"Caiden",0.82,0.18,11
"Caila",0.00,1.00,11
"Cailey",0.07,0.93,29
"Cailin",0.07,0.93,27
"Cailyn",0.00,1.00,30
"Cain",0.87,0.13,15
"Caine",0.77,0.23,13
"Cait",0.14,0.86,28
"Caiti",0.09,0.91,11
"Caitie",0.06,0.94,17
"Caitlin",0.02,0.98,671
"Caitlyn",0.01,0.99,407
"Caitlynn",0.00,1.00,34
"Caity",0.00,1.00,18
"Cal",0.92,0.08,52
"Cale",0.87,0.13,31
"Caleb",0.97,0.03,1093
"Caleigh",0.11,0.89,28
"Caley",0.15,0.85,13
"Cali",0.17,0.83,59
"Calie",0.08,0.92,13
"Calista",0.04,0.96,50
"Calli",0.12,0.88,34
"Callie",0.05,0.95,161
"Callum",0.94,0.06,17
"Calvin",0.96,0.04,378
"Cam",0.84,0.16,307
"Cambria",0.04,0.96,24
"Camden",0.73,0.27,60
"Cameo",0.85,0.15,13
"Cameron",0.79,0.21,1585
"Cameryn",0.27,0.73,15
"Cami",0.10,0.90,82
"Camila",0.02,0.98,161
"Camilla",0.00,1.00,74
"Camille",0.01,0.99,297
"Camilo",0.85,0.15,40
"Camisha",0.00,1.00,13
"Cammie",0.05,0.95,19
"Cammy",0.08,0.92,13
"Campbell",0.93,0.07,15
"Camron",0.86,0.14,69
